lat,lon
38.756809, -7.797061
18.167297, -22.006001
1.176796, -11.058583
-18.618736, -5.435501
-29.371696, 11.684907
-37.433518, 21.751613
-32.580107, 33.911123
-19.932200, 39.469222
-5.614201, 42.131657
10.493402, 76.285795
